categorySlug,region,Comercio,sale,sessions,quote,inauguration_year,furnitureWithEquipment,merchandise,surface,gross_income,GoogleDisplay,adwords,bing,facebook,hs_automation,hubspot
negocio-inmobiliario,Balearic_Islands,1.0,0,1.0,0,1950.0,25000.0,50000.0,100.0,100000.0,0,0,0,1,0,0
negocio-inmobiliario,Valencian_Community,1.0,0,1.0,1,2008.0,3000.0,3000.0,30.0,12000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,0,1986.0,6000.0,3000.0,45.0,5000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,1960.0,3500.0,3000.0,30.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,1.0,1,2007.0,20000.0,3000.0,100.0,60000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,0,1986.0,15995.0,3000.0,95.0,300000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,1.0,1,1980.0,10000.0,12000.0,130.0,750000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,1,5.0,1,1990.0,15000.0,3000.0,80.0,50000.0,0,0,1,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,5.0,1,1994.0,3000.0,3000.0,95.0,10000.0,0,1,0,0,0,0
negocio-inmobiliario,Castile-La_Mancha,1.0,0,1.0,0,1975.0,10000.0,5000.0,100.0,100000.0,0,1,0,0,0,0
negocio-inmobiliario,Basque_Country,1.0,0,6.0,1,1958.0,3000.0,3000.0,45.0,4000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,6.0,1,2000.0,60000.0,20000.0,120.0,57856.49,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,1,1970.0,3000.0,3000.0,390.0,200000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,6.0,0,2006.0,3000.0,3000.0,50.0,50000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,0,1974.0,60000.0,3000.0,65.0,300000.0,0,1,0,0,0,0
negocio-inmobiliario,Basque_Country,1.0,0,1.0,0,2018.0,3000.0,3000.0,500.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,2.0,0,2000.0,3000.0,3000.0,20.0,50000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,4.0,1,1900.0,100000.0,100000.0,385.0,500000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,1900.0,5000.0,5000.0,30.0,10000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,0,2008.0,96657.0,30000000.0,50.0,45000000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,1970.0,5000.0,200000.0,85.0,150000.0,0,1,0,0,0,0
